评分,作品名称,豆瓣链接,封面图片
7.7,恶人传,https://movie.douban.com/subject/30211551/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555084871.jpg
8.5,痛苦与荣耀,https://movie.douban.com/subject/30198539/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554080075.jpg
7.1,布鲁克林秘案,https://movie.douban.com/subject/1469353/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572943395.jpg
7.8,疾速备战,https://movie.douban.com/subject/26909790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551393832.jpg
8.6,玩具总动员4,https://movie.douban.com/subject/6850547/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557284230.jpg
4.7,肥龙过江,https://movie.douban.com/subject/27131218/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2580345427.jpg
8.1,唐顿庄园,https://movie.douban.com/subject/27002635/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575400017.jpg
7.3,灯塔,https://movie.douban.com/subject/30143336/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572123509.jpg
6.9,睡梦医生,https://movie.douban.com/subject/25932065/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571039507.jpg
7.2,原钻,https://movie.douban.com/subject/27045860/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2569621540.jpg
7.7,安娜,https://movie.douban.com/subject/27166976/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553320254.jpg
6.9,星际探索,https://movie.douban.com/subject/24716039/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2576088318.jpg
7.0,爆炸新闻,https://movie.douban.com/subject/30289194/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571554907.jpg
7.5,阿丽塔：战斗天使,https://movie.douban.com/subject/1652592/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544987866.jpg
5.1,大约在冬季,https://movie.douban.com/subject/30362186/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571441805.jpg
7.1,送我上青云,https://movie.douban.com/subject/27180759/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565751382.jpg
8.5,复仇者联盟4：终局之战,https://movie.douban.com/subject/26100958/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg
8.6,克劳斯：圣诞节的秘密,https://movie.douban.com/subject/26858510/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570825762.jpg
8.2,我在雨中等你,https://movie.douban.com/subject/3882427/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557226052.jpg
7.3,狮子王,https://movie.douban.com/subject/26884354/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559742751.jpg
5.2,特警队,https://movie.douban.com/subject/30317706/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2576871245.jpg
7.5,极限逃生,https://movie.douban.com/subject/30210691/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559890156.jpg
