测试工程师,杭州亿家健康管理有限公司,0.6-1.2万/月
软件测试工程师,杭州蚁国科技有限公司,1-2万/月
测试工程师,深圳市第一企业管理咨询有限公司,2-3千/月
软件测试工程师,杭州云灵科技有限公司,0.7-1.1万/月
软件测试工程师,杭州迪英加科技有限公司,1-1.8万/月
渗透测试工程师,浙江省发展信息安全测评技术有限公司,15-25万/年
系统测试工程师,杭州玖欣物联科技有限公司,1-1.5万/月
高级测试工程师,杭州深绘智能科技有限公司,1.5-2.2万/月
自动化测试工程师（金融）,杭州城市大数据运营有限公司,1.3-2.3万/月
软件测试工程师,南京迈珂优软件科技有限公司,0.6-1.2万/月
测试工程师,杭州志卓科技股份有限公司,0.8-1.5万/月
游戏测试工程师,迪原创新（北京）科技有限公司,1-1.5万/月
软件测试工程师,杭州博彦信息技术有限公司,1.2-2万/月
软件测试工程师,杭州爱讯科技有限公司,0.3-1万/月
软件测试工程师,杭州特扬网络科技有限公司,6-8千/月
软件测试工程师,杭州天音计算机系统工程有限公司,1-1.8万/月
测试工程师,杭州青塔科技有限公司,7-9千/月
测试工程师,浙江中扬网络科技有限公司,0.6-1万/月
渗透测试工程师,浙江乾冠信息安全研究院有限公司,0.8-1.8万/月
测试工程师,浙江单创品牌管理有限公司,0.8-1万/月
初级软件测试工程师,杭州树熊云计算科技有限公司,5-8千/月
测试工程师,浙江学海教育科技有限公司,1.1-2万/月
软件测试工程师,杭州赛凡科技有限公司,0.7-1万/月
软件测试工程师,浙江银江研究院有限公司,0.8-1.5万/月
游戏测试工程师,上海讯锡信息科技有限公司,5-9千/月
高级测试工程师（base地:无锡，提供住宿),邦道科技有限公司,1.1-2万/月
高级测试工程师,重庆睿景信息技术有限公司,0.6-1万/月
软件测试工程师,杭州姆珉网络科技有限公司,0.6-1万/月
软件测试工程师,杭州网梭科技有限公司,5-8千/月
无人机测试工程师,杭州零幺科技有限公司,4.5-6千/月
APP测试工程师,杭州舞环科技有限公司,5-8千/月
软件测试工程师,浙江华坤道威数据科技有限公司,1-1.5万/月
品控经理,成都趣睡科技股份有限公司,0.8-1万/月
资深品质控制工程师G01033,浙江集享电子商务有限公司,1-1.5万/月
软件测试主管,杭州小尖科技有限公司,1-1.5万/月
来料QC,杭州立方控股股份有限公司,4-6千/月
品控工程师(J10283),可优比母婴用品有限公司,0.8-1万/月
APP测试,浙江风云文化传媒有限公司,0.8-1万/月
家具工艺工程师,杭州致庭家居有限公司,0.8-1.2万/月
品控经理,浙江渔福食品有限公司,1-1.5万/月
软件项目经理,浙江广业软件科技有限公司杭州分公司,1-1.5万/月
供应商质量工程师,杭州品沐电子商务有限公司,6-8千/月
品质工程师,浙江英树生物科技有限公司,6-8千/月
资深硬件开发工程师,杭州畅充科技有限公司,1-1.5万/月
QC质检,杭州万纵信息科技有限公司,6-8千/月
QA工程师,杭州丹茱贝尔化妆品有限公司,4-6千/月
质检,杭州英奇科技有限公司,5-7千/月
棉品测试/产品测试,Babycare,5-7千/月
游戏测试,乐港科技有限公司,3-4千/月
质量主管,杭州华味亨食品有限公司,5-7千/月
质检,浙江艾猫网络科技有限公司,5-9千/月
JAVA高级开发工程师,证企宝企业服务（杭州）有限公司,1-1.8万/月
测试专员,杭州蓝恩服饰有限公司,0.8-1万/月
LFF-030-游戏测试,杭州边锋网络技术有限公司,4-8千/月
测试开发工程师(J10388),淘宝天下传媒有限公司,1-1.5万/月
平台开发（测试）,杭州沈力设备科技有限责任公司,1-1.5万/月
iOS开发工程师,杭州轻松管家网络科技有限公司,0.7-1万/月
品控员,杭州牧心电子商务有限公司,5-7千/月
生产QC,杭州佰神健康科技有限公司,5-6千/月
测试开发工程师,浙江执御信息技术有限公司,1.5-2万/月
资深技术与质量工程师（家居日化）G01036,云集共享科技有限公司,1.5-2万/月
质检工程师,开望（杭州）科技有限公司,0.6-1万/月
软件测试（2-4年）,星软集团有限公司,0.8-1万/月
软件测试,杭州金蚁电子商务有限公司,1-1.3万/月
德信  软件测试专员/主管,杭州随寓网络科技有限公司,0.6-1.2万/月
测试开发工程师,浙江华通云数据科技有限公司,0.8-1.6万/月
质量管理（QA工程师）,杭州诺辉健康科技有限公司,6-8千/月
驻厂检验员（包吃、余杭区）,凯儿得乐（深圳）科技发展有限公司,5-7千/月
测试工程师,深圳市捷兴电子商务有限公司,2-3万/年
测试工程师,小快科技（杭州）有限公司,12.6-22.4万/月
软件测试工程师,杭州小余科技有限公司,1-1.5万/月
测试工程师,蓝熙健康管理集团有限公司,0.8-1.2万/月
硬件测试工程师,杭州码泰科技有限公司,0.8-1.3万/月
测试工程师,杭州码泰科技有限公司,5-7千/月
服务端测试工程师,杭州码泰科技有限公司,0.7-1.4万/月
软件测试工程师,有荣国际电子商务（北京）有限公司,0.6-1万/月
软件测试工程师,金卡智能集团股份有限公司,0.8-1.8万/月
高级测试工程师,浙江省公众信息产业有限公司无线运营分公司,1-1.3万/月
高级自动化测试工程师,浙江省公众信息产业有限公司无线运营分公司,1-1.8万/月
游戏测试工程师-美泰JV事业部001,网易集团,1.5-2万/月
资深性能测试工程师-网易严选,网易集团,3-4万/月
高级/资深测试工程师,网易集团,2.5-3万/月
高级/资深云计算测试工程师（底层存储类）,网易集团,2.5-3万/月
资深服务端测试工程师（大数据方向）,网易集团,2.5-3万/月
高级/资深测试工程师,网易集团,4-5万/月
游戏测试工程师-雷火游戏部008,网易集团,1-1.5万/月
资深测试工程师-网易杭州游戏AI实验室003,网易集团,1.5-2万/月
资深测试工程师-友品,网易集团,2.5-3万/月
资深测试工程师,网易集团,1.5-2万/月
测试工程师,网易集团,1.5-2万/月
软件测试工程师,吉利科技集团,1-1.5万/月
测试工程师（偏软件）,浙江国天物联技术有限责任公司,0.8-1万/月
嵌入式软件测试工程师,金卡智能集团股份有限公司,0.8-1.5万/月
硬件测试工程师,金卡智能集团股份有限公司,0.9-1.2万/月
测试工程师,杭州悦玩网络科技有限公司,1.5-2.5万/月
性能测试工程师,浙江诺诺网络科技有限公司,1.5-2.5万/月
软件测试工程师,浙江诺诺网络科技有限公司,0.8-1.5万/月
