城市地址,商铺网址,商铺名称,商品编号,商铺星级,所在区域名称,分类名称,口味评分,环境评分,服务评分,人均消费
天津,http://www.dianping.com/shop/1490746275,七爺 想點就點,1490746275,50,小白楼,茶餐厅,9.1,9.0,9.0,77
天津,http://www.dianping.com/shop/8690877,第戎蛋糕,8690877,45,和平路,面包烘焙,9.0,9.0,9.0,155
天津,http://www.dianping.com/shop/1127095718,肖记隆府,1127095718,50,海光寺/六里台,川菜家常菜,9.2,9.1,9.1,58
天津,http://www.dianping.com/shop/619525207,兰多湾·Lu café,619525207,45,大悦城,咖啡厅,8.6,8.8,8.8,92
天津,http://www.dianping.com/shop/122119596,冈冈烘焙,122119596,45,西康路沿线,面包烘焙,8.9,8.6,8.7,42
天津,http://www.dianping.com/shop/1379077742,安莫希林甜品,1379077742,40,王顶堤,甜品,7.7,7.7,7.7,0
天津,http://www.dianping.com/shop/130426528,美式爆米花,130426528,50,小海地,小吃,9.1,9.0,9.1,20
天津,http://www.dianping.com/shop/131379358,禧多糕点,131379358,35,河西区,面包烘焙,7.7,7.6,7.7,47
天津,http://www.dianping.com/shop/22225744,这些年羊腿汤,22225744,50,宾水道/体院北,烧烤烤串,9.1,9.1,9.1,57
天津,http://www.dianping.com/shop/1948708821,星巴克臻选,1948708821,45,和平路,咖啡厅,9.0,9.1,8.9,73
天津,http://www.dianping.com/shop/131504796,天津靖江桥老味炸糕店,131504796,45,王串场/民权门,津味小吃,8.6,8.3,8.6,4
天津,http://www.dianping.com/shop/749956027,璞御の屋火山烧肉,749956027,40,文化中心,日式烧烤/烤肉,8.0,8.6,8.7,68
天津,http://www.dianping.com/shop/534813,来顺成饭庄,534813,45,河西区,炭火锅,9.1,7.9,7.8,94
天津,http://www.dianping.com/shop/82227876,八珍香菇烤鸡店,82227876,45,宾水道/体院北,快餐简餐,8.4,8.0,8.3,48
天津,http://www.dianping.com/shop/122666346,清真牛肉饭,122666346,40,中山路,快餐简餐,8.0,7.4,7.7,23
天津,http://www.dianping.com/shop/1955224,欣乐糕点,1955224,45,南市,面包烘焙,8.9,8.2,8.0,60
天津,http://www.dianping.com/shop/2657110,冯记炸串,2657110,40,王串场/民权门,炸鸡炸串,8.3,7.5,8.0,22
天津,http://www.dianping.com/shop/3663400,南楼煎饼,3663400,45,围堤道沿线,快餐简餐,8.8,8.2,8.6,14
天津,http://www.dianping.com/shop/535023,博格达餐厅,535023,45,水上/天塔,新疆菜,8.2,7.0,7.1,39
