names,direction,money,experience,condition,company,welfare
嵌入式单片机工程师,威海·环翠区,5k-10k,经验应届毕业生 / 大专,"通讯电子,物联网 / A轮 / 150-500人",精讯畅通,技术领先 物联网行业 研发项目多
单片机软件工程师,深圳·宝安区,10k-15k,经验3-5年 / 本科,硬件 / 未融资 / 少于15人,铁马飞,表现优异，公司会给予一定分红股
AGV单片机、嵌入式工程师,苏州·吴江区,13k-20k,经验3-5年 / 本科,"移动互联网,电商 / 不需要融资 / 50-150人",苏州恒力智能科技有限公司,世界500强 五险一金
单片机工程师/嵌入式软件工程师(J10520),深圳·南山区,15k-25k,经验3-5年 / 本科,其他 / B轮 / 2000人以上,贝尔创意科教,AI教育独角兽
单片机工程师,深圳·新安,12k-22k,经验3-5年 / 本科,移动互联网 / 不需要融资 / 500-2000人,几米物联,朝阳行业 薪酬福利好
MCU软件开发/单片机开发,深圳·龙岗区,15k-25k,经验3-5年 / 本科,"移动互联网,硬件 / 不需要融资 / 500-2000人",有为信息,福利待遇好，团队氛围好
单片机工程师,杭州·西兴,6k-11k,经验应届毕业生 / 不限,"数据服务,其他 / 未融资 / 150-500人",杭州浅海科技,五险一金、带薪年假、岗位晋升、技术培训
单片机开发工程师,广州·南沙区,8k-15k,经验不限 / 大专,"数据服务,其他 / 未融资 / 50-150人",广州博控自动化技术有限公司,"单片机C+,团队研发,周末双休,五险一金"
单片机讲师,北京·西红门,5k-10k,经验不限 / 大专,"教育,硬件 / 未融资 / 少于15人",拿云,创业团队，提升空间大，公司年轻氛围好
STM32单片机程序开发工程师,杭州·富阳市,10k-15k,经验1-3年 / 不限,物联网 / 未融资 / 15-50人,浙江固微科技有限公司,双休、五险一金等
诚聘嵌入式开发工程师（单片机、物联网、无线技术）,广州·番禺区,6k-8k,经验应届毕业生 / 本科,"硬件,人工智能 / 未融资 / 少于15人",摩羯智造,"有趣有活力,get技能,自主性强"
嵌入式单片机,威海·环翠区,6k-12k,经验应届毕业生 / 本科,"硬件,信息安全 / 未融资 / 少于15人",威海精讯畅通电子科技有限公司,宽带薪酬
单片机工程师,深圳·坪山新区,10k-15k,经验1-3年 / 本科,人工智能 / 未融资 / 少于15人,华卓机器人,工资+奖金+保险+福利等
