names,direction,money,experience,condition,company,welfare
嵌入式工程师,北京·西二旗,8k-15k,经验1-3年 / 本科,"信息安全,移动互联网 / 不需要融资 / 50-150人",拓盛电子,五险一金 绩效奖金 带薪年假 节日福利
嵌入式软件工程师,上海·张江,10k-20k,经验1-3年 / 本科,"硬件,移动互联网 / 未融资 / 15-50人",小燕科技,"高增长,氛围好,好玩额,福利多"
嵌入式驱动开发工程师,天津·南开区,8k-15k,经验3-5年 / 本科,信息安全 / 上市公司 / 2000人以上,千方科技,上市企业，大数据，人工智能
自动化应用工程师,深圳·龙华新区,6k-10k,经验1-3年 / 大专,"电商,数据服务 / 上市公司 / 2000人以上",富士康科技集团,年终奖+绩效奖
自动化测试开发,杭州·西湖区,10k-20k,经验1-3年 / 不限,移动互联网 / 不需要融资 / 2000人以上,武汉佰钧成技术有限责任公司,新兴行业技术
高级运维自动化工程师,北京·望京,15k-30k,经验5-10年 / 本科,"金融,物流丨运输 / 不需要融资 / 2000人以上",狮桥集团,"绩效奖金,节日福利,团队建设,生活补贴"
移动端自动化测试,北京·朝阳门,15k-20k,经验3-5年 / 本科,"电商,数据服务 / 上市公司 / 500-2000人",everbridge,上市外企、弹性工作、六险一金、美国交流
WEB自动化测试工程师,北京·海淀区,20k-30k,经验3-5年 / 本科,数据服务 / A轮 / 50-150人,清交科技,清华控股，融资过亿，带薪年假，免费午餐
高级自动化测试,杭州·江南,15k-30k,经验5-10年 / 本科,不限 / 上市公司 / 2000人以上,海康威视,平台大，福利好
自动化测试工程师,上海·浦东新区,15k-25k,经验5-10年 / 本科,金融 / A轮 / 150-500人,WEX微汇,"弹性工作,补充公积金,补充医疗"
自动化测试工程师,北京·大山子,18k-25k,经验3-5年 / 本科,"移动互联网,硬件 / 不需要融资 / 500-2000人",亿咖通科技,补充公积金；带薪年假；年度体检；团队活动
自动化测试工程师,广州·海珠区,18k-23k,经验3-5年 / 本科,"电商,企业服务 / 不需要融资 / 50-150人",信创电子,发展前景
自动化运维工程师,北京·海淀区,23k-40k,经验不限 / 本科,文娱丨内容 / C轮 / 2000人以上,字节跳动,六险一金
自动化测试工程师,上海·张江,15k-25k,经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 500-2000人",电银信息,五险一金、公司团建、年度体检
自动化测试工程师,北京·五道口,13k-26k,经验1-3年 / 本科,"企业服务,信息安全 / B轮 / 150-500人",长亭科技,"带薪年假,工作餐,无限零食,五险一金"
自动化测试工程师,上海·普陀区,13k-17k,经验3-5年 / 本科,"移动互联网,企业服务 / 未融资 / 50-150人",合生科技,薪资待遇还可以
楼宇自动化经理,上海·方松,16k-32k,经验5-10年 / 大专,人工智能 / 不需要融资 / 150-500人,乐易上海,朝阳行业、发展前景
自动化测试工程师,上海·五里桥,20k-40k,经验3-5年 / 本科,"金融,软件开发 / 不需要融资 / 150-500人",易得碧计算机,奖金丰厚，弹性工作，领导nice
C++软件工程师,长沙·长沙县,8k-15k,经验1-3年 / 本科,"移动互联网,电商 / 上市公司 / 500-2000人",长沙开元仪器,上市公司+精英团队+良好的晋升空间
嵌入式软件研发工程师,深圳·南山区,8k-16k,经验1-3年 / 本科,"硬件,数据服务 / 未融资 / 15-50人",景示信息,"五险一金,绩效奖金,出国机会,发展空间大"
资深固件开发经理,南京·奥体,28k-40k,经验10年以上 / 本科,硬件 / 上市公司 / 500-2000人,华米科技,上市公司，Top5智能手表，发展空间大
CMOS SENSOR工程师,深圳·龙华新区,15k-20k,经验3-5年 / 大专,硬件 / 不需要融资 / 150-500人,度申,丰厚年终奖
智能硬件软件/嵌入式/C语言开发工程师,杭州·浦沿,8k-14k,经验3-5年 / 本科,"移动互联网,数据服务 / 不需要融资 / 15-50人",陀曼智造,虚拟股分红、购车补贴、开车油贴、五险一金
软件开发工程师【实习岗】,苏州·昆山市,2k-4k,经验应届毕业生 / 本科,其他 / 未融资 / 15-50人,奥创智能,实习优秀可转正
软件工程师,深圳·南山区,8k-15k,经验1-3年 / 本科,"不限,硬件 / 上市公司 / 2000人以上",茂硕电源,"五险一金,提供食宿,技能培训,绩效奖金"
电控工程师,北京·朝阳区,15k-20k,经验5-10年 / 本科,消费生活 / 上市公司 / 2000人以上,美团点评,发展空间大
硬件测试工程师,深圳·南山区,6k-8k,经验1-3年 / 大专,移动互联网 / 未融资 / 50-150人,欧深特,专业培训 晋升通道
嵌入式软件开发工程师,深圳·南山区,15k-30k,经验5-10年 / 本科,其他 / 未融资 / 500-2000人,梯安电梯配套,公司、行业发展前景好
嵌入式软件开发工程师,西安·沣惠南路,6k-9k,经验3-5年 / 本科,"移动互联网,人工智能 / 不需要融资 / 15-50人",大宽物联,五险一金 绩效奖金 补助 带薪年假
硬件工程师,深圳·科技园,10k-15k,经验不限 / 硕士,企业服务 / 未融资 / 50-150人,朗石科仪,周末双休 年终奖金 丰厚福利待遇
嵌入式智能硬件开发工程师,武汉·东西湖区,6k-12k,经验1-3年 / 本科,移动互联网 / 未融资 / 15-50人,皆能时空,"薪酬提升,股票期权,免费午餐"
课程开发工程师,上海·张江,6k-12k,经验1-3年 / 本科,"电商,硬件 / B轮 / 150-500人",DFRobot-SH,五险一金、弹性工作
软件开发工程师C语言,成都·高新区,7k-14k,经验3-5年 / 本科,硬件 / 不需要融资 / 50-150人,必控科技,军工
车载总线自动化开发工程师,大连·七贤岭,7k-10k,经验1-3年 / 大专,"移动互联网,硬件 / 不需要融资 / 500-2000人",亿咖通科技,汽车电子
自动化测试,上海·黄浦区,15k-22k,经验1-3年 / 本科,金融 / 上市公司 / 500-2000人,奥解思,福利好
自动化运维工程师,广州·跑马场,25k-45k,经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,广发证券,"季度奖,年终奖,环境好,牛人多"
自动化测试,上海·北外滩,18k-30k,经验3-5年 / 本科,"移动互联网,教育 / D轮及以上 / 2000人以上",掌门1对1在线教育,五险一金 免费水果 扁平管理 年底双薪
自动化运维工程师-成都,成都·武侯区,16k-32k,经验不限 / 本科,文娱丨内容 / C轮 / 2000人以上,字节跳动,"六险一金,免费三餐,租房补贴,下午茶"
自动化测试工程师,上海·中山公园,14k-22k,经验3-5年 / 本科,电商 / 不需要融资 / 500-2000人,乐贝网络,带薪年假 节日福利 双休 旅游
测试工程师（自动化测试）,广州·黄埔区,10k-15k,经验3-5年 / 本科,"数据服务,软件开发 / 不需要融资 / 150-500人",佰聆数据,餐补、通讯补贴、年终奖、提供住宿
测试工程师自动化,南宁·青秀区,5k-8k,经验3-5年 / 大专,移动互联网 / 上市公司 / 2000人以上,信雅达,五险一金年终奖补贴节假日福利体检
无人机配送中心-自动化测试工程师,北京·朝阳区,25k-40k,经验3-5年 / 本科,消费生活 / 上市公司 / 2000人以上,美团点评,自动驾驶前瞻技术，创新应用，大落地场景
自动化测试工程师,上海·北新泾,20k-40k,经验3-5年 / 本科,旅游 / 上市公司 / 2000人以上,携程,公司平台 发展潜力
自动化测试工程师,佛山·顺德区,15k-25k,经验3-5年 / 本科,房产家居 / 不需要融资 / 2000人以上,美的置业,五险一金 车补房补 绩效奖金 发展平台大
APP自动化测试工程师,北京·学院路,10k-15k,经验1-3年 / 本科,"移动互联网,游戏 / C轮 / 500-2000人",互爱（北京）科技股份有限公司,五险一金
自动化测试工程师,郑州·中原区,8k-10k,经验3-5年 / 大专,"游戏,社交 / B轮 / 150-500人",甜心互娱,五险一金、下午茶、旅游、年终奖
自动化工程师,北京·西二旗,10k-20k,经验1-3年 / 本科,"移动互联网,电商 / 不需要融资 / 2000人以上",苏州瑞捷科信息科技有限公司,六险一金
自动化测试工程师,北京·海淀区,8k-12k,经验不限 / 本科,移动互联网 / A轮 / 50-150人,翼辉信息,"弹性工作,团建活动,茶歇水果"
无人机系统工程师,上海·张江,10k-15k,经验1-3年 / 本科,移动互联网 / 天使轮 / 少于15人,INSKY Lab,五险一金/年假 /补助/ 项目奖
芯片FAE,北京·回龙观,15k-26k,经验3-5年 / 本科,"人工智能,通讯电子 / B轮 / 50-150人",超凡品质投资,扁平化管理风格，成长空间大，有期权
机器人教师,广州·大沙,4k-8k,经验应届毕业生 / 不限,教育 / 未融资 / 15-50人,励志教育,负责小学生机器人课程，平台无限潜力。
嵌入式软件工程师,成都·高新区,8k-12k,经验1-3年 / 本科,"硬件,人工智能 / 未融资 / 50-150人",川哈工产研院,"五险一金,周末双休,餐补,交通补"
高级硬件工程师,西安·唐延路,15k-20k,经验5-10年 / 本科,"移动互联网,人工智能 / 不需要融资 / 500-2000人",欢迎网络,五险一金，双休，技术前景好，培训机制健全
高级电子工程师,深圳·南油,8k-10k,经验3-5年 / 大专,"其他,人工智能 / 不需要融资 / 50-150人",福迈,"年底双薪,五险一金，包住宿"
嵌入式软件工程师,杭州·四季青,10k-20k,经验3-5年 / 大专,"移动互联网,硬件 / B轮 / 50-150人",控客信息,发展空间大 工作环境优 公司氛围好
camera底层系统软件工程师,深圳·南山区,18k-35k,经验3-5年 / 本科,硬件 / D轮及以上 / 2000人以上,小米,平台大 收入高 氛围好
嵌入式软件工程师,东莞·东莞市市辖区,7k-14k,经验1-3年 / 大专,"移动互联网,数据服务 / 不需要融资 / 15-50人",欧飒网络科技,周末双休，下午茶，住房补贴，午餐晚餐
嵌入式软件开发工程师,杭州·长河,30k-50k,经验5-10年 / 本科,"移动互联网,数据服务 / 不需要融资 / 2000人以上",华为杭州研究所,高薪高奖金，相对加班少
无人机飞控算法工程师,上海·张江,10k-15k,经验1-3年 / 硕士,移动互联网 / 天使轮 / 少于15人,INSKY Lab,五险一金/年假 /补助/ 项目奖
电子工程师,广州·天河区,10k-20k,经验3-5年 / 本科,移动互联网 / 不需要融资 / 15-50人,广州英卓,物联网+AI
硬件工程师,北京·科技园区,18k-22k,经验3-5年 / 本科,医疗丨健康 / A轮 / 15-50人,中科搏锐,定期体检、年终奖金、扁平化管理、带薪年假
嵌入式软件工程师,广州·番禺区,6k-8k,经验3-5年 / 本科,"硬件,人工智能 / 未融资 / 少于15人",摩羯智造,"有趣有活力,get技能,自主性强"
ARM Linux研发工程师,深圳·光明新区,8k-12k,经验1-3年 / 大专,"硬件,人工智能 / 未融资 / 15-50人",智慧云天,定期团建，定期体检，年底双薪
自动化测试工程师,上海·江湾,8k-15k,经验1-3年 / 本科,"文娱丨内容,游戏 / B轮 / 150-500人",上海喵斯拉网络科技有限公司,"二次元,零食饮料,有猫,定期团建"
测试工程师自动化,深圳·科技园,9k-15k,经验3-5年 / 本科,"移动互联网,数据服务 / B轮 / 150-500人",环球雅途集团有限公司,周末双休，生日会，年终奖，季度旅游
自动化运维,上海·闵行区,15k-25k,经验3-5年 / 本科,软件开发 / 未融资 / 50-150人,宝申数字,五险一金 弹性工作 氛围好 周末双休
自动化测试工程师,北京·和平街,20k-25k,经验5-10年 / 本科,其他 / 不需要融资 / 500-2000人,pkpm,七险两金 发展前景好 市场化薪酬
自动化测试工程师,上海·洋泾,11k-16k,经验1-3年 / 本科,"电商,企业服务 / 不需要融资 / 150-500人",坤亿科技,五险一金 节日福利 周末双休
DevOps/自动化测试开发,上海·洋泾,12k-15k,经验1-3年 / 本科,"电商,企业服务 / 不需要融资 / 150-500人",坤亿科技,五险一金 节日福利 周末双休
楼宇自动化工程师,上海·方松,8k-16k,经验1-3年 / 大专,人工智能 / 不需要融资 / 150-500人,乐易上海,朝阳行业、发展前景
高级测试工程师（自动化测试）,成都·公平,8k-16k,经验1-3年 / 本科,"移动互联网,医疗丨健康 / 上市公司 / 150-500人",延华医疗研究院,工作环境好 团队氛围融洽
内核网络自动化测试工程师,北京·中关村,15k-25k,经验3-5年 / 本科,"企业服务,数据服务 / 上市公司 / 500-2000人","Red Hat, 红帽软件",学习成长，流程规范，上市外企，国际团队
自动化测试工程师,北京·朝阳区,10k-15k,经验3-5年 / 本科,"移动互联网,电商 / 不需要融资 / 500-2000人",好生活,全额五险一金，试用期全薪，福利齐全
自动化测试工程师,北京·朝阳区,12k-20k,经验3-5年 / 本科,"金融,数据服务 / A轮 / 150-500人",车晓科技,行业前景 团队氛围
APP自动化测试工程师,上海·张江,20k-30k,经验5-10年 / 本科,移动互联网 / 未融资 / 500-2000人,上海小牛互娱智能科技有限公司,下午茶，项目激励金、年终奖、内部晋升机会
无人机配送中心-机械传动设计工程师（非标自动化方向）,北京·朝阳区,30k-45k,经验5-10年 / 本科,消费生活 / 上市公司 / 2000人以上,美团点评,自动驾驶前瞻技术，创新应用，大落地场景
自动化测试工程师,杭州·余杭区,15k-25k,经验3-5年 / 本科,游戏 / 不需要融资 / 150-500人,悦玩网络,全年16薪
高级自动化测试工程师,北京·北京大学,10k-20k,经验3-5年 / 本科,人工智能 / D轮及以上 / 500-2000人,旷视MEGVII,发展前景，技术大牛
软件开发负责人,杭州·余杭区,20k-35k,经验5-10年 / 不限,"移动互联网,其他 / 不需要融资 / 150-500人",卡尔特汽车科技,高级管理五险一金弹性上班
电子工程师,东莞·东莞市市辖区,7k-14k,经验1-3年 / 大专,"移动互联网,数据服务 / 不需要融资 / 15-50人",欧飒网络科技,工作餐（午餐晚餐），双休，下午茶零食饮料
嵌入式软件开发工程师,杭州·西溪,10k-13k,经验3-5年 / 大专,"移动互联网,消费生活 / 未融资 / 50-150人",洞见科技,双休五险一金、国外游、体检、年终奖、零食
嵌入式软件开发工程师,深圳·沙井,5k-10k,经验1-3年 / 不限,移动互联网 / 不需要融资 / 15-50人,驰骋网络,产品提成
硬件工程师,成都·龙潭,10k-15k,经验5-10年 / 大专,"企业服务,人工智能 / 未融资 / 50-150人",信电联,双休 年假 项目奖金
（北京校招）硬件开发工程师,北京·海淀区,6k-12k,经验应届毕业生 / 本科,"信息安全,数据服务 / 不需要融资 / 2000人以上",中电太极（集团）有限公司,职位前景好，发展空间大
嵌入式软件开发工程师,西安·高新技术产业开发区,11k-20k,经验1-3年 / 大专,"软件开发,物联网 / 未融资 / 50-150人",文睿信息,入职五险一金、带薪假 、体检等
C/C++开发工程师,西安·高新技术产业开发区,11k-20k,经验1-3年 / 大专,"软件开发,物联网 / 未融资 / 50-150人",文睿信息,入职五险一金、带薪假 、体检等
硬件工程师,福州·鼓楼区,10k-15k,经验3-5年 / 本科,移动互联网 / C轮 / 150-500人,秒账,外企
结构工程师,杭州·萧山区,6k-8k,经验1-3年 / 本科,"其他,文娱丨内容 / 不需要融资 / 少于15人",DEFRONT,"双休,五险,包饭,90后,年终奖＋旅游"
智能硬件产品经理,上海·闵行区,10k-15k,经验1-3年 / 本科,"移动互联网,电商 / 不需要融资 / 150-500人",游伴伴,新零售项目、智能硬件、
软件开发工程师,西安·高新技术产业开发区,10k-18k,经验3-5年 / 本科,移动互联网 / 不需要融资 / 50-150人,麦腾物联,14薪、股票期权、带薪年假、弹性工作
初级软件开发工程师,西安·高新技术产业开发区,6k-11k,经验不限 / 本科,移动互联网 / 不需要融资 / 50-150人,麦腾物联,14薪、股票期权、带薪年假、弹性工作
创意编程工程师／程序员,北京·北苑,12k-20k,经验3-5年 / 本科,"广告营销,企业服务 / 不需要融资 / 15-50人",米科交互,travel overseas
电子工程师,深圳·南山区,9k-14k,经验3-5年 / 大专,"硬件,其他 / 未融资 / 少于15人",喵小小,五险一金、.不定时下午茶及团建活动
自动化测试工程师,武汉·东湖新技术开发区,12k-16k,经验3-5年 / 本科,移动互联网 / 上市公司 / 500-2000人,武汉政通,"五险一金,上市公司,餐补车补,年终奖金"
自动化测试工程师（要求熟练Java）,北京·望京,13k-26k,经验3-5年 / 本科,移动互联网 / C轮 / 150-500人,APUS Group,Apus独角兽 快速发展 福利健全
高级自动化开发工程师-整车方向,上海·嘉定区,25k-40k,经验3-5年 / 本科,"移动互联网,硬件 / 上市公司 / 2000人以上",NIO蔚来,五险一金，补充公积金，带薪休假
软件测试工程师（自动化）,深圳·西乡,10k-18k,经验5-10年 / 本科,"移动互联网,电商 / D轮及以上 / 500-2000人",4PX,阿里系 自主研发 团队氛围好 技术大咖多
自动化测试工程师,北京·海淀区,15k-22k,经验3-5年 / 本科,"数据服务,硬件 / C轮 / 150-500人",志翔科技,全额公积金、年终奖、午餐补助
自动化测试工程师,北京·和平街,20k-25k,经验5-10年 / 本科,其他 / 不需要融资 / 500-2000人,pkpm,七险两金 发展前景好 市场化薪酬
自动化测试,广州·官洲,13k-21k,经验3-5年 / 本科,"移动互联网,医疗丨健康 / 不需要融资 / 500-2000人",联通（广东）产业互联网...,包三餐、免费班车、交补餐补话补、节日福利
自动化投放研发工程师-广告系统,北京·海淀区,25k-50k,经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,字节跳动,过亿用户
自动化测试工程师,深圳·科技园,15k-30k,经验3-5年 / 本科,其他 / D轮及以上 / 2000人以上,Royole柔宇科技,五险一金、定期体检、绩效奖金、周末双休
自动化测试工程师--中高级,深圳·东门,12k-20k,经验3-5年 / 大专,"移动互联网,金融 / 未融资 / 150-500人",博奥特科技,五险一金 不加班
硬件自动化测试工程师,北京·海淀区,15k-25k,经验3-5年 / 本科,"数据服务,硬件 / C轮 / 150-500人",志翔科技,全额公积金、年终奖、午餐补助
自动化测试工程师,成都·高新区,8k-15k,经验1-3年 / 本科,"移动互联网,数据服务 / 天使轮 / 50-150人",考拉悠然科技,发展空间、行业前景、员工福利
资深自动化开发工程师—车联网方向,上海·嘉定区,25k-40k,经验3-5年 / 本科,"移动互联网,硬件 / 上市公司 / 2000人以上",NIO蔚来,五险一金，补充公积金，带薪休假
RPA - 机器人流程自动化 - 技术开发 -GZ,广州·珠江新城,8k-10k,经验1-3年 / 本科,金融 / 不需要融资 / 2000人以上,PWC,行业翘楚 精英相伴 卓越培训 探索创新
自动化测试开发工程师-小米电视,北京·清河,15k-30k,经验3-5年 / 本科,硬件 / D轮及以上 / 2000人以上,小米,发展空间
嵌入式开发实习生 / C实习,广州·天河区,2k-4k,经验应届毕业生 / 本科,移动互联网 / 不需要融资 / 15-50人,广州英卓,"物联网, NBIOT，4G，9轴，GPS"
硬件工程师,南宁·西乡塘区,5k-10k,经验1-3年 / 不限,人工智能 / 不需要融资 / 15-50人,诚新慧创,六险一金、定期体检、知识产权奖金等
嵌入式开发软件工程师,广州·番禺区,6k-8k,经验3-5年 / 本科,"企业服务,硬件 / 未融资 / 少于15人",首工科技,"有趣有活力,get技能,自主性强"
嵌入式开发工程师,贵阳·花溪区,5k-10k,经验1-3年 / 本科,"移动互联网,信息安全 / 上市公司 / 2000人以上",贵州众信云信息技术有限公司,"国企,电网"
综合测试质控部测试专家,上海·长征,35k-45k,经验5-10年 / 本科,消费生活 / D轮及以上 / 2000人以上,饿了么,待遇好，环境好，领导nice
嵌入式软件工程师,上海·闵行区,11k-13k,经验1-3年 / 本科,"硬件,其他 / 上市公司 / 150-500人",柏楚电子,免费三餐、五险一金、健身房、年度出游
IOT硬件开发（中级）,佛山·顺德区,10k-15k,经验3-5年 / 不限,企业服务 / 未融资 / 500-2000人,超悦软件,社保 双休 包住 有食堂
嵌入式开发工程师,石家庄·长安区,8k-15k,经验不限 / 本科,硬件 / 上市公司 / 500-2000人,先河环保,上市公司+五险一金+高额年终奖
硬件工程师,北京·昌平区,10k-20k,经验1-3年 / 本科,硬件 / 上市公司 / 150-500人,淳中科技,五险一金；季度奖金；年终奖；加班补贴
市场专员,北京·大兴区,4K-8K,经验应届毕业生 / 大专,"教育,硬件 / 未融资 / 少于15人",拿云,"提成奖金,绩效奖金,交通补助"
电子电器工程师（机器人方向）,广州·市桥,5k-10k,经验1-3年 / 本科,"企业服务,金融 / 未融资 / 15-50人",首润汇金,"五险一金,免费宿舍,项目奖金"
互联网硬件销售顾问,合肥·望江路,5k-10k,经验1-3年 / 大专,"移动互联网,消费生活 / D轮及以上 / 15-50人",合肥海拔网络科技有限公司,五险一金，***高新技术企业，话补
销售顾问,合肥·望江路,8k-12k,经验1-3年 / 大专,"移动互联网,消费生活 / D轮及以上 / 15-50人",合肥海拔网络科技有限公司,五险一金，***高新技术企业，话补
硬件工程师,长沙·雨花区,8k-10k,经验3-5年 / 大专,"移动互联网,医疗丨健康 / 天使轮 / 50-150人",Ehomepoct,五险一金节日福利年底双薪带薪年假
研发电子工程师,深圳·坂田,9k-12k,经验3-5年 / 本科,电商 / 不需要融资 / 50-150人,深圳市洛沃克科技有限公司,包住宿，入职购买社保，有餐补，交通补贴
运维自动化开发岗,广州·官洲,15k-25k,经验3-5年 / 本科,"移动互联网,医疗丨健康 / 不需要融资 / 500-2000人",联通（广东）产业互联网...,包三餐、免费班车、交补餐补话补、节日福利
自动化测试工程师-杭州滨江,杭州·浦沿,8k-12k,经验1-3年 / 本科,企业服务 / 不需要融资 / 150-500人,文德数慧,入职即缴纳五险一金，员工旅游等
自动化投放后台研发工程师-广告系统,北京·海淀区,25k-50k,经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,字节跳动,扁平管理
运维自动化,北京·鲁谷,25k-50k,经验应届毕业生 / 本科,移动互联网 / D轮及以上 / 500-2000人,易盟天地,待遇好
自动化测试工程师（测试开发）-K,北京·酒仙桥,16k-25k,经验3-5年 / 本科,移动互联网 / 上市公司 / 500-2000人,安居客,集团岗位公司平台大，团队大牛多，福利好
自动化测试开发工程师,北京·海淀区,15k-22k,经验3-5年 / 本科,"数据服务,硬件 / C轮 / 150-500人",志翔科技,全额公积金、年终奖、午餐补助
自动化测试工程师,成都·高新区,9k-13k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司 / 2000人以上",西安润和软件,"六年一金,加班工资,带薪年假,年终奖"
自动化工程师/电气工程师,成都·龙泉驿区,10k-15k,经验3-5年 / 本科,硬件 / A轮 / 15-50人,圭目机器人,期权、绩效奖金、带薪年假、年度旅游
自动化测试,广州·广卫,17k-25k,经验3-5年 / 本科,企业服务 / 上市公司 / 2000人以上,凯捷,福利待遇
测试工程师-自动化,深圳·人民南,13k-23k,经验1-3年 / 本科,其他 / 不需要融资 / 2000人以上,QIMA,海外同事 五险一金 年假丰富 全英文环境
自动化测试工程师,武汉·东湖新技术开发区,8k-15k,经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,京东武汉研发中心,职业生涯规划、年度晋升机会、完善培训体系
自动化运维工程师,重庆·渝北区,14k-18k,经验1-3年 / 本科,移动互联网 / 不需要融资 / 15-50人,博尼施,"老板好,年底双薪,旅游,五险一金"
自动化开发工程师,深圳·南山区,14k-25k,经验3-5年 / 本科,"数据服务,硬件 / 上市公司 / 500-2000人",深圳市锐明技术股份有限公司,行业前景好 发展空间大 福利待遇好
高级自动化测试,成都·高新区,12k-18k,经验不限 / 不限,"硬件,数据服务 / 未融资 / 50-150人",万特达,111
运维组长(自动化开发方向),深圳·科技园,22k-32k,经验5-10年 / 大专,"移动互联网,企业服务 / 不需要融资 / 15-50人",君子一诺科技,国际团队，不加班，下午茶，英语培训
嵌入式软件工程师,深圳·南山区,10k-18k,经验3-5年 / 本科,物联网 / 未融资 / 50-150人,迪太科技,福利好，弹性工作制，带薪年休假，五险一金
中级硬件工程师,北京·丰台区,8k-12k,经验3-5年 / 不限,"企业服务,硬件 / 未融资 / 50-150人",国信智科,五险一金、提供午餐、交通及通讯补助、
嵌入式软件工程师,广州·大石,13k-18k,经验3-5年 / 本科,"物联网,人工智能 / A轮 / 50-150人",智安科技,七险一金 体检 生日会 旅游
硬件工程师,广州·大石,15k-20k,经验不限 / 本科,"物联网,人工智能 / A轮 / 50-150人",智安科技,七险一金 体检 生日会 旅游
嵌入式软件工程师,南京·雨花台区,15k-25k,经验5-10年 / 本科,"移动互联网,企业服务 / B轮 / 500-2000人",众能联合,独角兽企业、发展平台、竞争力薪酬
嵌入式软件工程师,长沙·雨花区,8k-15k,经验3-5年 / 本科,"移动互联网,医疗丨健康 / 天使轮 / 50-150人",Ehomepoct,发展前景好 绩效奖金 节日福利
硬件测试工程师,上海·嘉定区,9k-11k,经验1-3年 / 大专,"数据服务,硬件 / A轮 / 15-50人",睿畜科技,工作餐，弹性工作，项目奖金
硬件测试工程师,上海·嘉定区,9k-15k,经验1-3年 / 大专,"数据服务,硬件 / A轮 / 15-50人",睿畜科技,工作餐，弹性工作，项目奖金
硬件测试工程师,上海·嘉定区,9k-11k,经验3-5年 / 本科,"数据服务,硬件 / A轮 / 15-50人",睿畜科技,工作餐，定期团建，项目奖金
电子工程师,郑州·经开区,8k-15k,经验不限 / 本科,医疗丨健康 / 天使轮 / 少于15人,光超医疗,"培训机会,优秀团队,扁平管理,岗位晋升"
研发工程师,北京·大兴区,5k-10k,经验应届毕业生 / 大专,"教育,硬件 / 未融资 / 少于15人",拿云,"年底奖金,绩效奖金,各种补助,晋升空间大"
创客研发教师,北京·大兴区,5k-10k,经验应届毕业生 / 大专,"教育,硬件 / 未融资 / 少于15人",拿云,"年底奖金,交通补助,半年调薪,晋升空间大"
嵌入式硬件,上海·岳阳,10k-15k,经验1-3年 / 本科,"企业服务,广告营销 / 不需要融资 / 15-50人",NotionBase,自主研发 年轻团队 极客精神
生产管理员,北京·永定,5k-6k,经验1-3年 / 大专,"硬件,其他 / 未融资 / 15-50人",北京七芯中创科技有限公司,五险一金、免费午餐、带薪年假、周末双休
固件开发工程师,深圳·大冲,20k-40k,经验不限 / 本科,移动互联网 / 上市公司 / 500-2000人,华米科技,公司前景好，管理扁平化
电气自动化工程师,成都·高新区,6k-12k,经验3-5年 / 本科,"硬件,人工智能 / 未融资 / 50-150人",川哈工产研院,"五险一金,周末双休,餐补,交通补"
自动化测试工程师,成都·武侯区,9k-13k,经验3-5年 / 大专,"金融,数据服务 / 上市公司 / 500-2000人",纬创软件,上市公司，五险一金，员工旅游，过节福利
高级自动化测试工程师,广州·黄埔区,18k-30k,经验3-5年 / 本科,"数据服务,硬件 / 上市公司 / 2000人以上",CVTE,季度奖金，自助餐厅，弹性工作，六险一金
测试工程师自动化,厦门·莲前,10k-15k,经验3-5年 / 大专,"移动互联网,企业服务 / 不需要融资 / 150-500人",极联开发,五险一金，加班补助，年终奖，定期团建
自动化投放研发工程师-广告系统,北京·海淀区,20k-40k,经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,字节跳动,六险一金
自动化开发程序员,广州·石楼,5k-8k,经验不限 / 大专,消费生活 / 上市公司 / 2000人以上,艾利丹尼森集团,五险一金 商业保险 双薪年终奖 加班费
自动化测试工程师,南京·上海路,6k-12k,经验3-5年 / 本科,"数据服务,文娱丨内容 / 不需要融资 / 2000人以上",华扬联众全国数据技术中心（HDTC）,带薪假期、6险1金、年底双薪
自动化测试工程师,芜湖·芜湖县,6k-12k,经验3-5年 / 本科,移动互联网 / A轮 / 50-150人,智网数联,五险一金
自动化测试工程师,上海·长征,15k-30k,经验3-5年 / 本科,"数据服务,广告营销 / D轮及以上 / 2000人以上",明略科技集团,更多福利可与HR详谈
自动化测试工程师,上海·普陀区,15k-25k,经验3-5年 / 本科,"数据服务,广告营销 / D轮及以上 / 2000人以上",明略科技集团,更多福利可与HR详谈
自动化软件测试工程师,上海·五角场,15k-30k,经验5-10年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",丁博士,朝九晚六加班少 十五薪 外企氛围
测试工程师（自动化方向）,长沙·麓谷,7k-10k,经验3-5年 / 本科,"移动互联网,企业服务 / 不需要融资 / 500-2000人",长沙辰运软件有限公司,"五险一金,周末双休,超长带薪假,超多活动"
自动化测试工程师,北京·酒仙桥,8k-15k,经验3-5年 / 本科,移动互联网 / C轮 / 150-500人,泰迪熊,"16薪,弹性打卡,超长年假，免费自助餐"
自动化测试工程师,深圳·南山区,15k-25k,经验3-5年 / 本科,"移动互联网,电商 / B轮 / 150-500人",Crypto.com,20天有薪年假，五险一金，生日福利
自动化测试工程师,北京·和平里,15k-25k,经验5-10年 / 本科,"企业服务,数据服务 / 上市公司 / 500-2000人",众荟网,弹性工作 年终奖
