高级电子工程师（吸尘器）,深圳·西丽,15k-25k,经验5-10年 / 本科,移动互联网 / 不需要融资 / 500-2000人,Anker,扁平管理 晋升机会 包三餐 带薪年假
初级硬件工程师（电子电路方向）,广州·天河区,5k-8k,经验不限 / 本科,"移动互联网,硬件 / 天使轮 / 50-150人",大气候物联网科技,年假、体检、旅游、双休、五险一金等
汽车电子软件工程师,深圳·龙华新区,8k-12k,经验3-5年 / 本科,汽车丨出行 / 未融资 / 50-150人,爱普精密,未来发展前景非常好！
智能硬件工程师/电子工程师,上海·浦东新区,15k-18k,经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 15-50人",Catgenie猫洁易,饭贴、交通补贴、全勤奖、五险一金
资深汽车电子工程师,杭州·文一路,12k-18k,经验3-5年 / 本科,"人工智能,物联网 / D轮及以上 / 500-2000人",虹软科技,AI人工智能
电子烟产品工程师,深圳·宝安区,5k-8k,经验应届毕业生 / 大专,电商 / D轮及以上 / 150-500人,亿乐谷,五险一金；完善的培训体系；晋升空间；
电子工程师,深圳·龙华新区,13k-25k,经验3-5年 / 本科,电商 / 未融资 / 50-150人,理德铭科技,双休;境外游
电子工程师,深圳·坪山新区,7k-13k,经验1-3年 / 大专,人工智能 / 未融资 / 少于15人,华卓机器人,工资+奖金+保险+福利等
java开发工程师-电子商务平台,上海·张江,15k-30k,经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,奥解思,五险一金周末双休 弹性工作制
芯片数字电路设计工程师,上海·岳阳,30k-60k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,芯片规划中心
芯片数字电路设计工程师,杭州·余杭区,30k-60k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,芯片规划中心
硬件工程师/专家（汽车电子方向）-无人车配送中心,北京·朝阳区,25k-40k,经验5-10年 / 本科,消费生活 / 上市公司 / 2000人以上,美团点评,自动驾驶前瞻技术，大落地场景，牛人云集
电子工程师,苏州·昆山市,8k-15k,经验3-5年 / 本科,其他 / 上市公司 / 50-150人,特思达,发展前景
