87,【东方】万古生香,5.6万
88,【沙雕动画】你 行 你 上 啊,20.4万
89,Hololive 现 状,12.7万
90,把火影的忍术翻译成中文谐音之后，简直不要太沙雕。,11.5万
91,熊 出 没 删 减 片 段,18.6万
92,前方极度舒适！新海诚×宫崎骏,10.6万
93,艾莉娜今天要干...死迪奥！,17.5万
94,被没收玩偶的拉普兰德,10.3万
95,卡卡西为何单身？木叶网红果然名不虚传！,16.7万
96,超爽龙傲天动画，男主有九个老婆！看完后我酸了！,14.0万
97,奇怪的知识增加了！,19.9万
98,【脑洞/误解】龙  凤  相  遇,9.0万
99,【童年动漫男神】猴哥的绯闻女友甜爆了,18.8万
100,防  止  老  年  痴  呆 ！,11.2万
101,看的我热血沸腾，看完你可能要重新认识喜羊羊,23.8万
102,“我见众生皆无意，唯遇你动了情”,14.9万
103,【喜羊羊与灰太狼/踩点/燃爆】青草生长之处，羊亦生生不息,22.9万
104,这样的喜羊羊与灰太狼 我愿称之为 王者归来,26.1万
105,【魁拔Ⅳ之梅零落】大 电  影 预 热,17.0万
106,点进来的那一刻你币没了/墨香三部曲燃向混剪,7.0万
107,恋爱启蒙老师？国产古装宫廷动画《甜心格格》你站哪对cp？,14.8万
108,当MC遇到《三体》，这部9.9分的动画才是改编作品应有的态度和样子！,10.9万
109,火  影  忍  羊,12.1万
110,【仙王的日常生活】第11集 王令三杀影流之主,19.7万
111,【中国神话宇宙 02】姜子牙之前，九尾顺天认命！生而为妖便是罪过？！,9.8万
112,细致分析仙王OP！王令实力暴露？细节太多了！【仙王的日常生活】,15.3万
113,掌声有请章北海先生谈谈对《三体》大战的看法,8.9万
114,剑在人在，装逼妙哉，骚气解说仙王的日常生活【文言文讲国创 # 09】,12.7万
115,硬核法律解读！《仙王》抄袭《齐木楠雄》了吗？【小荟说法】,9.7万
116,灰太狼：我颠覆了整个世界，只为换你一次回眸,6.4万
117,【中国配音演员】都是怪物系列之张杰篇，带你全面了解男神张杰！,7.1万
118,up主苦练气功居然可以以气驭剪,11.1万
119,《尸兄》炎黄的英雄—鬼棍!最全的炎黄特能队大总结（共六队）,6.6万
120,你们最期待的一部战斗番。,5.9万
121,说国漫幼稚的，估计是没看过他们,5.1万
122,【非人哉动画】当你的告白得到回应,8.7万
123,十道题让你怀疑你从没看过《喜羊羊与灰太狼》！,6.9万
